productCategory_APPAREL,productCategory,,,,,Apparel,,RNY_CATEGORY_ROOT APPAREL,,1,Apparel,,,,,,,,,,,,,,,,,,,0,,,,,,
productCategory_ACTIVE,productCategory,,,,,Active is a designer collection.,,RNY_CATEGORY_ROOT APPAREL ACTIVE,,2,Active,/osafe_theme/images/catalog/categories/vest_1_100002-000007.jpg,,,,,,,,,,,,,,,,,,0,,,,,,
facetGroup_ACTIVE_COLOR,facetGroup,,,,,,,ACTIVE,,0,,,,,,,,COLOR,Color,COLOR,,,,,,,,,,0,,,,,,
facetGroup_ACTIVE_SIZE,facetGroup,,,,,,,ACTIVE,,0,,,,,,,,SIZE,Size,SIZE,,,,,,,,,,0,,,,,,
facetGroup_ACTIVE_BRAND,facetGroup,,,,,,,ACTIVE,,0,,,,,,,,BRAND,Brand,BRAND,,,,,,,,,,0,,,,,,
facetGroup_ACTIVE_MATERIAL,facetGroup,,,,,,,ACTIVE,,0,,,,,,,,MATERIAL,Material,MATERIAL,,,,,,,,,,0,,,,,,
facetGroup_DONATELLI_COLOR,facetGroup,,,,,,,DONATELLI,,0,,,,,,,,COLOR,Color,COLOR,,,,,,,,,,0,,,,,,
facetGroup_DONATELLI_SIZE,facetGroup,,,,,,,DONATELLI,,0,,,,,,,,SIZE,Size,SIZE,,,,,,,,,,0,,,,,,
facetGroup_DONATELLI_BRAND,facetGroup,,,,,,,DONATELLI,,0,,,,,,,,BRAND,Brand,BRAND,,,,,,,,,,0,,,,,,
facetGroup_DONATELLI_MATERIAL,facetGroup,,,,,,,DONATELLI,,0,,,,,,,,MATERIAL,Material,MATERIAL,,,,,,,,,,0,,,,,,
product_100017_APPAREL_ACTIVE,product,100017,Reversible hooded shearling vest,Reversible hooded shearling vest,"This reversible, hooded suede vest features on-seam side pockets and an open placket. Seam detailing throughout. Shearling lining. 22' long, measured from shoulder.  Fabrication: Shearling. 100% shearling. Fur: lambskin shearling.  Fur clean.",Active is a designer collection.,,ACTIVE,APPAREL,0,Active,,/osafe_theme/images/catalog/products/small/vest_1_100002-000007.jpg,,/osafe_theme/images/catalog/products/small/vest_2_100002-000007.jpg,,/osafe_theme/images/catalog/products/detail/vest_1_100002-000007.jpg,,,,650.000,550.000,0,10,0,0.0,,2011-10-12T00:00:000Z,,0,Donatelli,,Fur,Brown Olive,Large Medium Small,Versace
facetGroup_ACTIVE_COLOR,facetGroup,,,,,,,ACTIVE,,0,,,,,,,,COLOR,Color,COLOR,,,,,,,,,,0,,,,,,
facetGroup_ACTIVE_SIZE,facetGroup,,,,,,,ACTIVE,,0,,,,,,,,SIZE,Size,SIZE,,,,,,,,,,0,,,,,,
facetGroup_ACTIVE_BRAND,facetGroup,,,,,,,ACTIVE,,0,,,,,,,,BRAND,Brand,BRAND,,,,,,,,,,0,,,,,,
facetGroup_ACTIVE_MATERIAL,facetGroup,,,,,,,ACTIVE,,0,,,,,,,,MATERIAL,Material,MATERIAL,,,,,,,,,,0,,,,,,
facetGroup_STELLA_COLOR,facetGroup,,,,,,,STELLA,,0,,,,,,,,COLOR,Color,COLOR,,,,,,,,,,0,,,,,,
facetGroup_STELLA_SIZE,facetGroup,,,,,,,STELLA,,0,,,,,,,,SIZE,Size,SIZE,,,,,,,,,,0,,,,,,
facetGroup_STELLA_BRAND,facetGroup,,,,,,,STELLA,,0,,,,,,,,BRAND,Brand,BRAND,,,,,,,,,,0,,,,,,
facetGroup_STELLA_MATERIAL,facetGroup,,,,,,,STELLA,,0,,,,,,,,MATERIAL,Material,MATERIAL,,,,,,,,,,0,,,,,,
product_100018_APPAREL_ACTIVE,product,100018,Asymmetrical tank,Asymmetrical tank,"This scoop-neck, shadow-striped jersey tank features a racer back. Banding at draped, asymmetrical hem. 1.5' straps. Semi-sheer. 25' long, measured from shoulder.  Fabrication: Jersey. 100% rayon. Hand wash",Active is a designer collection.,,ACTIVE,APPAREL,0,Active,,/osafe_theme/images/catalog/products/small/tank_1_100002-000008.jpg,,/osafe_theme/images/catalog/products/small/tank_2_100002-000008.jpg,,test,,,,80.000,70.000,0,20,0,0.0,,2011-10-12T00:00:000Z,,0,Stella Designs,,Rayon,Pink White,Large Medium Small,Stella_Designs
